num_people_enrolled,total_class_size,class_number,term
44,138,COMPSCI 198,2018 Spring
78,105,COMPSCI 198,2018 Fall
81,100,COMPSCI 198,Spring 2019
13,32,COMPSCI 198,2018 Fall
27,48,COMPSCI 198,2018 Fall
18,45,COMPSCI 198,2019 Fall
11,20,COMPSCI 198,2018 Fall
29,40,COMPSCI 198,Spring 2019
10,35,COMPSCI 198,2019 Fall
1,25,COMPSCI 198,2018 Fall
70,141,COMPSCI 198,2018 Fall
33,46,COMPSCI 198,Spring 2019
40,45,COMPSCI 198,2019 Fall
2,999,COMPSCI 199,2016 Fall
8,999,COMPSCI 199,2016 Fall
2,10,COMPSCI 199,2018 Fall
1,10,COMPSCI 199,2018 Fall
8,10,COMPSCI 199,2018 Fall
1,1,COMPSCI 199,2018 Fall
1,1,COMPSCI 199,2018 Fall
43,45,COMPSCI C200A,2018 Fall
56,60,COMPSCI C200A,Spring 2019
53,50,COMPSCI C200A,2019 Fall
4,8,COMPSCI C249A,2016 Fall
0,8,COMPSCI C249A,2017 Fall
9,11,COMPSCI C249A,2018 Fall
6,10,COMPSCI C249A,2019 Fall
5,32,COMPSCI 250,2017 Spring
7,30,COMPSCI 252,2017 Spring
10,15,COMPSCI 252,2018 Spring
9,10,COMPSCI 252,Spring 2019
8,8,COMPSCI 260A,2016 Fall
16,17,COMPSCI 260A,2017 Fall
10,20,COMPSCI 260A,2017 Spring
23,30,COMPSCI 260B,2017 Fall
14,30,COMPSCI 260A,2018 Spring
9,11,COMPSCI 260A,2018 Fall
24,23,COMPSCI 260A,Spring 2019
19,18,COMPSCI 260A,2019 Fall
19,30,COMPSCI 261N,2016 Fall
30,40,COMPSCI 261,2017 Fall
37,35,COMPSCI 261,2018 Fall
32,98,COMPSCI 262A,2016 Fall
31,35,COMPSCI 262A,2018 Spring
36,40,COMPSCI 262A,2018 Fall
44,45,COMPSCI 262A,2019 Fall
31,40,COMPSCI 263,Spring 2019
20,32,COMPSCI 263,2019 Fall
80,98,COMPSCI C267,2017 Spring
103,150,COMPSCI C267,2018 Spring
102,157,COMPSCI C267,Spring 2019
23,30,COMPSCI 268,Spring 2019
64,98,COMPSCI 270,2017 Spring
100,230,COMPSCI 270,Spring 2019
54,67,COMPSCI 271,2018 Spring
25,35,COMPSCI 274,2017 Spring
23,35,COMPSCI 274,Spring 2019
15,35,COMPSCI 276,2016 Fall
25,35,COMPSCI 276,2017 Fall
26,30,COMPSCI 276,2018 Fall
20,30,COMPSCI 278,2016 Fall
85,98,COMPSCI C280,2017 Spring
107,133,COMPSCI C280,2018 Spring
92,97,COMPSCI C280,Spring 2019
82,100,COMPSCI C281A,2016 Fall
11,15,COMPSCI C281B,2017 Spring
0,100,COMPSCI C281A,2017 Fall
134,261,COMPSCI C281A,2019 Fall
79,83,COMPSCI 282A,Spring 2019
1,6,COMPSCI 284A,2016 Fall
10,11,COMPSCI 284A,2017 Spring
27,35,COMPSCI 284B,2017 Spring
14,14,COMPSCI 284A,2018 Spring
23,50,COMPSCI 284A,Spring 2019
23,35,COMPSCI 284B,Spring 2019
195,190,COMPSCI 285,2019 Fall
12,15,COMPSCI 286A,2016 Fall
28,28,COMPSCI 286A,2017 Fall
6,40,COMPSCI 286A,2017 Spring
19,22,COMPSCI 286A,2018 Spring
127,200,COMPSCI 287,2019 Fall
76,97,COMPSCI 289A,2016 Fall
64,107,COMPSCI 289A,2017 Fall
99,120,COMPSCI 289A,2017 Spring
101,113,COMPSCI 289A,2018 Spring
45,53,COMPSCI 289A,2018 Fall
62,63,COMPSCI 289A,Spring 2019
113,140,COMPSCI 289A,2019 Fall
11,15,COMPSCI 294,2016 Fall
6,20,COMPSCI 294,2018 Spring
15,45,COMPSCI 294,2016 Fall
132,150,COMPSCI 294,2017 Fall
